id;valeur;exercice_id;commune_id;indicateur_id;modalite_id;created_by;created_date;last_modified_by;last_modified_date
18201;-0.4000000059604645;1151;218;1252;;admin;2019-12-12 16:30:09.181;admin;2019-12-12 16:30:09.181
18202;18.0;1151;218;1253;;admin;2019-12-12 16:30:09.195;admin;2019-12-12 16:30:09.195
18203;104.5999984741211;1151;218;1256;;admin;2019-12-12 16:30:09.2;admin;2019-12-12 16:30:09.2
18204;0.0;1151;218;1258;;admin;2019-12-12 16:30:09.205;admin;2019-12-12 16:30:09.205
18205;81.0999984741211;1151;218;1259;;admin;2019-12-12 16:30:09.211;admin;2019-12-12 16:30:09.211
18206;103.2;1151;218;1257;;admin;2019-12-12 16:30:09.219;admin;2019-12-12 16:30:09.219
18207;176.0;1151;218;1260;;admin;2019-12-12 16:30:09.224;admin;2019-12-12 16:30:09.224
18208;100.0;1151;218;1254;;admin;2019-12-12 16:30:09.229;admin;2019-12-12 16:30:09.229
18209;44.400001525878906;1151;218;1255;;admin;2019-12-12 16:30:09.235;admin;2019-12-12 16:30:09.235
18210;11.600000381469727;1151;161;1252;;admin;2019-12-12 16:30:09.371;admin;2019-12-12 16:30:09.371
18211;20.0;1151;161;1253;;admin;2019-12-12 16:30:09.375;admin;2019-12-12 16:30:09.375
18212;100.4000015258789;1151;161;1256;;admin;2019-12-12 16:30:09.378;admin;2019-12-12 16:30:09.378
18213;50.0;1151;161;1258;;admin;2019-12-12 16:30:09.381;admin;2019-12-12 16:30:09.381
18214;78.5999984741211;1151;161;1259;;admin;2019-12-12 16:30:09.385;admin;2019-12-12 16:30:09.385
18215;109.1;1151;161;1257;;admin;2019-12-12 16:30:09.389;admin;2019-12-12 16:30:09.389
18216;20.600000381469727;1151;161;1260;;admin;2019-12-12 16:30:09.393;admin;2019-12-12 16:30:09.393
18217;75.0;1151;161;1254;;admin;2019-12-12 16:30:09.397;admin;2019-12-12 16:30:09.397
18218;33.29999923706055;1151;161;1255;;admin;2019-12-12 16:30:09.401;admin;2019-12-12 16:30:09.401
18219;5.199999809265137;1151;283;1252;;admin;2019-12-12 16:30:09.49;admin;2019-12-12 16:30:09.49
18220;6.800000190734863;1151;283;1253;;admin;2019-12-12 16:30:09.494;admin;2019-12-12 16:30:09.494
18221;59.400001525878906;1151;283;1256;;admin;2019-12-12 16:30:09.497;admin;2019-12-12 16:30:09.497
18222;14.300000190734863;1151;283;1258;;admin;2019-12-12 16:30:09.5;admin;2019-12-12 16:30:09.5
18223;41.5;1151;283;1259;;admin;2019-12-12 16:30:09.503;admin;2019-12-12 16:30:09.503
18224;105.7;1151;283;1257;;admin;2019-12-12 16:30:09.506;admin;2019-12-12 16:30:09.506
18225;8.300000190734863;1151;283;1260;;admin;2019-12-12 16:30:09.509;admin;2019-12-12 16:30:09.509
18226;90.0;1151;283;1254;;admin;2019-12-12 16:30:09.512;admin;2019-12-12 16:30:09.512
18227;70.0;1151;283;1255;;admin;2019-12-12 16:30:09.515;admin;2019-12-12 16:30:09.515
18228;7.5;1151;230;1252;;admin;2019-12-12 16:30:09.582;admin;2019-12-12 16:30:09.582
18229;4.5;1151;230;1253;;admin;2019-12-12 16:30:09.585;admin;2019-12-12 16:30:09.585
18230;109.0999984741211;1151;230;1256;;admin;2019-12-12 16:30:09.588;admin;2019-12-12 16:30:09.588
18231;20.0;1151;230;1258;;admin;2019-12-12 16:30:09.591;admin;2019-12-12 16:30:09.591
18232;73.0999984741211;1151;230;1259;;admin;2019-12-12 16:30:09.594;admin;2019-12-12 16:30:09.594
18233;100.9;1151;230;1257;;admin;2019-12-12 16:30:09.597;admin;2019-12-12 16:30:09.597
18234;41.599998474121094;1151;230;1260;;admin;2019-12-12 16:30:09.599;admin;2019-12-12 16:30:09.599
18235;90.0;1151;230;1254;;admin;2019-12-12 16:30:09.601;admin;2019-12-12 16:30:09.601
18236;60.0;1151;230;1255;;admin;2019-12-12 16:30:09.603;admin;2019-12-12 16:30:09.603
18237;2.299999952316284;1151;231;1252;;admin;2019-12-12 16:30:09.656;admin;2019-12-12 16:30:09.656
18238;0.699999988079071;1151;231;1253;;admin;2019-12-12 16:30:09.658;admin;2019-12-12 16:30:09.658
18239;90.5999984741211;1151;231;1256;;admin;2019-12-12 16:30:09.66;admin;2019-12-12 16:30:09.66
18240;0.0;1151;231;1258;;admin;2019-12-12 16:30:09.662;admin;2019-12-12 16:30:09.662
18241;79.69999694824219;1151;231;1259;;admin;2019-12-12 16:30:09.664;admin;2019-12-12 16:30:09.664
18242;101.7;1151;231;1257;;admin;2019-12-12 16:30:09.666;admin;2019-12-12 16:30:09.666
18243;21.700000762939453;1151;231;1260;;admin;2019-12-12 16:30:09.668;admin;2019-12-12 16:30:09.668
18244;100.0;1151;231;1254;;admin;2019-12-12 16:30:09.67;admin;2019-12-12 16:30:09.67
18245;70.0;1151;231;1255;;admin;2019-12-12 16:30:09.672;admin;2019-12-12 16:30:09.672
18246;-8.600000381469727;1151;1;1252;;admin;2019-12-12 16:30:09.732;admin;2019-12-12 16:30:09.732
18247;2.9000000953674316;1151;1;1253;;admin;2019-12-12 16:30:09.735;admin;2019-12-12 16:30:09.735
18248;58.5;1151;1;1256;;admin;2019-12-12 16:30:09.737;admin;2019-12-12 16:30:09.737
18249;15.399999618530273;1151;1;1258;;admin;2019-12-12 16:30:09.74;admin;2019-12-12 16:30:09.74
